cytoband	8q24.3	4p16.3	1q42.13	2q24.1	3q29	4p11	6p21.33	16q22.3	17q25.3	19p13.3	20q13.33	1p36.32	2p24.3	15q21.1	11p15.5	14q11.2	5q35.3
	FBXL6						SNORA38		GPS1	HCN2					NS3BP		PRR7
	CPSF1								FOXK2	BSG					EFCAB4A		LOC340037
	CYHR1								MAFG	C3					PDDC1		PFN3
	VPS28								P4HB	CAPS					SNORA52		
	FAM203A								PDE6G	CD70							
	SLC39A4								PYCR1	CDC34							
	GPR172A								PCYT2	CIRBP							
	ARHGAP39								RAC3	CNN2							
	SCRT1								RFNG	CSNK1G2							
	PPP1R16A								MRPL12	DAPK3							
	KIFC2								SECTM1	CFD							
	MFSD3								TBCD	ARID3A							
	ADCK5								SLC16A3	EEF2							
	C8ORFK29								HGS	EFNA2							
	C8orf82								AATK	ELANE							
	LRRC24								ALYREF	EMR1							
	SCXB								BAIAP2	FUT3							
	HEATR7A								RAB40B	FUT5							
	MIR939								AZI1	FUT6							
	SCXA								FSCN2	GAMT							
	MIR1234								NARF	GNA11							
									DCXR	GNA15							
									ANAPC11	GNG7							
									SIRT7	MKNK2							
									NPLOC4	GPX4							
									WDR45L	GTF2F1							
									RPTOR	GZMM							
									BAHCC1	INSR							
									DUS1L	MATK							
									FN3K	MLLT1							
									ASPSCR1	GADD45B							
									C17orf62	NFIC							
									CHMP6	NRTN							
									FN3KRP	OAZ1							
									C17orf101	PALM							
									C17orf70	POLR2E							
									TSPAN10	POLRMT							
									MAFG-AS1	MAP2K2							
									PPP1R27	PSPN							
									SLC38A10	PRTN3							
									C17orf56	PTBP1							
									NOTUM	PTPRS							
									STRA13	RFX2							
									LRRC45	RPS15							
									MYADML2	SAFB							
									NPB	SGTA							
									CCDC57	SH3GL1							
									HEXDC	STK11							
									C17orf89	TBXA2R							
									LINC00482	TCF3							
									TMEM105	THOP1							
									C17orf90	TLE2							
									CCDC137	VAV1							
									ARL16	MADCAM1							
									FAM195B	SF3A2							
									AATK-AS1	CLPP							
									TEX19	RANBP3							
									FLJ90757	KHSRP							
									MIR338	PPAP2C							
									MIR657	S1PR4							
									MIR1250	TNFSF14							
									MIR3065	TNFSF9							
									MIR3186	AP3D1							
									MIR4740	TRIP10							
										LONP1							
										APBA3							
										SAFB2							
										MED16							
										CHAF1A							
										SH2D3A							
										EBI3							
										PLIN3							
										FSTL3							
										APC2							
										ABCA7							
										HMG20B							
										TUBB4A							
										SEMA6B							
										UQCR11							
										SBNO2							
										KDM4B							
										ZFR2							
										PIP5K1C							
										HMHA1							
										SHC2							
										RPL36							
										TIMM13							
										DAZAP1							
										SNORD37							
										FGF22							
										TJP3							
										ITGB1BP3							
										UHRF1							
										SLC39A3							
										THEG							
										ZBTB7A							
										FZR1							
										SIRT6							
										PIAS4							
										LSM7							
										MBD3							
										MIER2							
										PCSK4							
										C19orf24							
										PLEKHJ1							
										FEM1A							
										STAP2							
										BTBD2							
										RNF126							
										CCDC94							
										C19orf10							
										NCLN							
										GPR108							
										SPPL2B							
										DUS3L							
										SHD							
										WDR18							
										REXO1							
										ZNF77							
										C19orf29							
										CELF5							
										SLC25A23							
										FSD1							
										ZNF557							
										TLE6							
										LPPR3							
										DENND1C							
										ZNF556							
										UBXN6							
										ACSBG2							
										FAM108A1							
										DOHH							
										KLF16							
										ALKBH7							
										DOT1L							
										KISS1R							
										CREB3L3							
										HDGFRP2							
										LMNB2							
										RAX2							
										MUM1							
										MPND							
										ATCAY							
										MIDN							
										DPP9							
										R3HDM4							
										C19orf6							
										TPGS1							
										CRB3							
										REEP6							
										IZUMO4							
										SCAMP4							
										ADAT3							
										ZNF554							
										GRIN3B							
										MRPL54							
										LRG1							
										ACER1							
										C19orf70							
										MBD3L2							
										TMIGD2							
										TNFAIP8L1							
										ZNF57							
										JSRP1							
										MOB3A							
										MFSD12							
										GIPC3							
										NDUFA11							
										C19orf21							
										PLK5							
										C2CD4C							
										TICAM1							
										CIRBP-AS1							
										ZNRF4							
										C19orf25							
										ATP8B3							
										DIRAS1							
										ZNF555							
										PRR22							
										ANKRD24							
										C19orf26							
										CSNK1G2-AS1							
										PLAC2							
										TMEM146							
										C19orf77							
										MIR7-3HG							
										SLC25A41							
										MBD3L5							
										ODF3L2							
										EMR4P							
										ADAMTSL5							
										TMPRSS9							
										NDUFS7							
										C19orf35							
										HSD11B1L							
										ONECUT3							
										MEX3D							
										PRSS57							
										VMAC							
										C19orf29-AS1							
										MIR7-3							
										PLIN5							
										FLJ25758							
										LINGO3							
										ARRDC5							
										MBD3L4							
										MBD3L3							
										MIR637							
										PLIN4							
										C19orf71							
										LOC100131094							
										LOC100288123							
										MIR1909							
										MIR1227							
										MIR3187							
										MIR4321							
										MIR3940							
										MIR4747							
										MIR4746							
										MIR4745							
